"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
02912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
04001,"Apache, AZ",22452,24447,25987,26785,27425,27435,28031,29323,30954
04003,"Cochise, AZ",31406,33066,34227,34677,35401,34570,34424,35349,36648
04005,"Coconino, AZ",33669,35821,34089,34532,36417,36900,38335,40017,42212
04007,"Gila, AZ",28584,30768,31028,31505,32856,31771,32388,33800,35410
04009,"Graham, AZ",22761,25508,23731,24474,25453,26587,27066,28293,28643
04011,"Greenlee, AZ",29398,33652,29433,30440,31186,31072,34642,35501,33494
04012,"La Paz, AZ*",24796,26240,25846,26386,29652,28910,31853,30640,33626
04013,"Maricopa, AZ",39392,38470,35745,36205,37876,39300,39642,41208,42997
04015,"Mohave, AZ",25005,25607,25668,25865,25878,26332,27161,28567,29421
04017,"Navajo, AZ",22564,23742,24640,24645,25498,25803,26564,27092,28191
04019,"Pima, AZ",34258,35939,33892,34100,35335,36317,36562,37431,38569
04021,"Pinal, AZ",25195,26719,24491,23901,25590,26326,28015,28888,30121
04023,"Santa Cruz, AZ",26735,27618,28094,28972,30109,30563,30362,31753,32360
04025,"Yavapai, AZ",30149,30856,29426,29237,30534,31146,32357,34272,35644
04027,"Yuma, AZ*",26307,26715,26792,27794,28566,28317,30044,29777,31989
05001,"Arkansas, AR",30559,33336,34326,34150,36514,37936,40981,40197,40139
05003,"Ashley, AR",27244,27276,27779,29532,31588,31430,32079,31945,33023
05005,"Baxter, AR",29109,29729,28965,29472,30563,32160,32183,34264,34424
05007,"Benton, AR",48998,52762,48219,49145,57212,67082,63965,72956,77808
05009,"Boone, AR",27162,27777,27594,28575,29616,30551,30740,32576,32914
05011,"Bradley, AR",25683,25483,25631,28019,29018,31351,31777,33981,35136
05013,"Calhoun, AR",24101,25231,25381,26221,27726,29078,29640,31411,32927
05015,"Carroll, AR",25493,26004,24266,24765,25202,26835,27933,31284,30138
05017,"Chicot, AR",25918,26556,27118,28014,30479,32922,35946,33726,33107
05019,"Clark, AR",25880,26373,26946,28235,29457,31337,30913,32252,33028
05021,"Clay, AR",26498,28340,28397,28221,29120,30784,32695,31515,30206
05023,"Cleburne, AR",27141,29008,28396,29756,31617,33317,33946,35489,35739
05025,"Cleveland, AR",28282,29805,28077,28836,28804,30576,32761,35702,37060
05027,"Columbia, AR",28645,30532,28815,29963,31681,33710,33492,35673,34715
05029,"Conway, AR",28397,28969,28960,30168,32389,33446,35138,37014,36512
05031,"Craighead, AR",27927,28806,28896,30448,32483,33675,33848,34674,35121
05033,"Crawford, AR",25245,26465,26195,27408,28519,29390,29678,30747,31453
05035,"Crittenden, AR",27820,28552,28179,29019,30717,31678,32943,33388,33781
05037,"Cross, AR",25725,27480,28770,29290,30401,31348,32292,32415,31780
05039,"Dallas, AR",25835,26742,27388,28036,27845,28289,28303,30257,31418
05041,"Desha, AR",27464,29325,29906,30545,32896,33219,36935,34519,34555
05043,"Drew, AR",27577,28823,28276,29982,31481,32556,33458,33736,33935
05045,"Faulkner, AR",29471,30344,30542,31628,32758,33452,33691,34794,35482
05047,"Franklin, AR",24924,25768,24761,25973,26865,29029,29279,31844,31737
05049,"Fulton, AR",20372,21521,22395,23299,24636,25076,25100,26488,26125
05051,"Garland, AR",31335,31561,31610,32227,33583,34754,33888,35578,36476
05053,"Grant, AR",29762,28917,29331,30854,31870,32912,32885,34136,35601
05055,"Greene, AR",24796,26324,26940,27860,28704,30782,31722,31743,32113
05057,"Hempstead, AR",23542,24424,24227,25216,26417,27831,27760,29874,29726
05059,"Hot Spring, AR",24801,25200,25193,25516,26623,27125,26884,28323,28829
05061,"Howard, AR",26817,26662,24948,25732,26924,29071,30869,33764,33886
