GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
05099,"Nevada, AR",198962,209212,216710,249895,275431,258443
05101,"Newton, AR",104490,114704,114541,119692,120120,126017
05103,"Ouachita, AR",596542,595186,608456,628912,637456,654620
05105,"Perry, AR",127638,133281,132388,146279,143275,143181
05107,"Phillips, AR",606038,572891,632927,625947,605374,600268
05109,"Pike, AR",246268,254005,248757,269857,290210,278422
05111,"Poinsett, AR",570144,545064,647867,674473,670615,690915
05113,"Polk, AR",466065,457313,453061,480689,500168,475122
05115,"Pope, AR",2450263,2418948,2484342,2607500,2733920,2738811
05117,"Prairie, AR",173463,162050,206588,213596,194713,203377
05119,"Pulaski, AR",23112234,23724379,24851829,25757216,27274333,27742884
05121,"Randolph, AR",367251,400260,443290,465672,435535,428230
05123,"St. Francis, AR",728225,752296,753925,789848,771263,729629
05125,"Saline, AR",1611649,1716796,1801197,1880402,1946648,2000234
05127,"Scott, AR",245094,259493,228527,245951,257346,302266
05129,"Searcy, AR",136349,146716,151658,157981,159166,167674
05131,"Sebastian, AR",5934348,6119559,6442408,6827777,7033471,7403634
05133,"Sevier, AR",451798,434295,476592,432141,444144,428034
05135,"Sharp, AR",289564,306604,308613,329405,334995,330908
05137,"Stone, AR",219077,226626,226180,235301,247072,235713
05139,"Union, AR",2189553,2208366,2031590,2005138,2005625,2145774
05141,"Van Buren, AR",205544,209705,214381,216905,215964,227335
05143,"Washington, AR",6914315,7256246,7782536,8663588,9122703,9261399
05145,"White, AR",1638809,1657145,1762994,1866919,1899960,1947004
05147,"Woodruff, AR",214422,187071,207381,199626,185931,183078
05149,"Yell, AR",507954,521328,550591,607444,609187,577287
06001,"Alameda, CA",86924126,87945920,91564585,92470454,94611477,97221046
06003,"Alpine, CA",84720,87647,89449,86175,87711,88802
06005,"Amador, CA",1360828,1572280,1616440,1685018,1677506,1669942
06007,"Butte, CA",6790163,7281711,7600395,7713220,7912397,8195172
06009,"Calaveras, CA",1098393,1193532,1220905,1201726,1290494,1246157
06011,"Colusa, CA",908729,845631,989680,814567,853126,921396
06013,"Contra Costa, CA",64845726,64827092,65646731,68905840,75014351,75242782
06015,"Del Norte, CA",659710,667447,692526,728039,744646,773156
06017,"El Dorado, CA",5655039,6145440,6297920,6564920,6731682,6937119
06019,"Fresno, CA",29431750,31820828,33660142,34313566,35649979,37609487
06021,"Glenn, CA",848998,849378,862690,881121,938771,850078
06023,"Humboldt, CA",4600477,4802114,4982105,5039924,5015388,5034410
