GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
05063,"Independence, AR",1843828,1844525,1774347,1921223,1862821,1808714,1893821,1919543,1685928
05065,"Izard, AR",256810,259223,243383,257723,271336,293844,307357,315932,298784
05067,"Jackson, AR",504033,533933,534353,532384,518802,575782,624253,629003,599404
05069,"Jefferson, AR",3567596,3612249,3488136,3606971,3584698,3571540,3645044,3488151,3272621
05071,"Johnson, AR",664030,639909,584110,603841,618267,626568,744691,900953,748906
05073,"Lafayette, AR",161486,152123,138592,125474,128573,166357,156445,159031,153222
05075,"Lawrence, AR",387488,397321,427808,420224,381168,422567,460167,505378,412245
05077,"Lee, AR",262543,248677,233298,235265,316062,240405,230323,178392,176710
05079,"Lincoln, AR",257764,237445,222194,226462,233569,257539,302338,258962,271552
05081,"Little River, AR",607953,719730,700988,584564,566451,574297,546519,539430,470630
05083,"Logan, AR",590063,550275,534387,519932,472142,526848,505859,528385,541922
05085,"Lonoke, AR",1294154,1269836,1298698,1342792,1318677,1319812,1412849,1373783,1341130
05087,"Madison, AR",286116,288745,265493,284346,269516,305055,326383,381086,375810
05089,"Marion, AR",365124,428442,365428,408193,439028,369111,407978,450795,624176
05091,"Miller, AR",1347065,1227902,1211709,1341540,1382565,1342895,1301939,1343559,1377488
05093,"Mississippi, AR",1925395,1801511,1528838,1675243,2116440,2184672,2204459,2039516,2010799
05095,"Monroe, AR",208637,216289,210371,232464,249178,240569,271387,214949,178862
05097,"Montgomery, AR",182171,170186,168410,167818,162887,175620,172093,173226,158465
05099,"Nevada, AR",236386,200798,175478,187947,209293,241328,234530,244861,252731
05101,"Newton, AR",116845,108096,102099,113589,114133,111790,112217,113584,103549
05103,"Ouachita, AR",649747,652720,636545,677944,676997,675654,697812,685833,653016
05105,"Perry, AR",147106,153690,152509,149882,145595,138994,148390,143813,162595
05107,"Phillips, AR",606358,565653,570244,550738,618478,549121,587083,492729,472793
05109,"Pike, AR",287074,276687,263621,265394,232695,226038,228348,251526,252420
05111,"Poinsett, AR",604980,644024,648196,620743,577123,583663,616654,550741,529250
05113,"Polk, AR",471366,471155,431196,448736,449516,486198,495669,516884,528471
05115,"Pope, AR",2737741,2771799,2648295,2818453,2797151,2811019,2812686,2843995,2919675
05117,"Prairie, AR",178290,217562,281171,227971,177854,188891,214950,204992,166351
05119,"Pulaski, AR",28616658,28205419,27042016,26526348,26887451,27050712,27331156,27637223,28240917
05121,"Randolph, AR",412023,399505,400205,395556,390947,404239,417822,442033,393944
05123,"St. Francis, AR",689215,700338,739193,747286,787728,717890,782537,747223,723461
05125,"Saline, AR",2022483,2016736,1943158,2084038,2179857,2324943,2297535,2408519,2389531
05127,"Scott, AR",239478,225494,209514,224336,222557,242263,262937,275918,280599
05129,"Searcy, AR",158680,151846,148991,162291,156154,151263,150921,152776,147398
05131,"Sebastian, AR",7054889,6910205,6275140,6488296,6754341,6618198,6506421,6481008,6364576
05133,"Sevier, AR",444144,411127,384509,407808,369490,397205,437223,482598,505726
05135,"Sharp, AR",312719,316319,304950,304958,303156,297095,320697,359883,376339
05137,"Stone, AR",233455,229049,214267,224286,217654,223485,224445,249975,249445
05139,"Union, AR",2138879,2078489,2129468,2212731,2194129,2303082,2443057,2640634,2536160
05141,"Van Buren, AR",265012,394846,605580,604066,629298,597651,559293,544129,488484
05143,"Washington, AR",8956815,8643871,8186336,8683933,8699779,8901804,9528001,9855472,10309386
05145,"White, AR",1926212,2278484,2557648,2678484,2610613,2572485,2460508,2441531,2303348
05147,"Woodruff, AR",177646,204349,179111,191529,212647,237353,244635,221057,199821
05149,"Yell, AR",563929,545483,497206,492101,476216,489727,549995,577160,574588
06001,"Alameda, CA",98832535,99236414,94214542,97503433,99901787,103075886,106957044,111256132,119277959
06003,"Alpine, CA",97501,94188,89805,94445,106013,105258,101992,109676,112863
06005,"Amador, CA",1639393,1620129,1539261,1516280,1490526,1410001,1442873,1471869,1509231
06007,"Butte, CA",8084613,7917794,8066507,8103725,8041960,7907486,8100816,7914931,8282989
06009,"Calaveras, CA",1231004,1215672,1147589,1247463,1262941,1172114,1142856,1151410,1205964
06011,"Colusa, CA",1019449,1331160,1619244,1381681,1408579,1282490,1371562,1140452,1407340
06013,"Contra Costa, CA",73275314,90234175,78642291,70521397,61420189,61886376,63560918,68227043,69109358
06015,"Del Norte, CA",791314,858035,807494,806195,802865,768813,758225,758048,770057
06017,"El Dorado, CA",6825184,6820209,6575227,6588968,6730944,6523416,6626293,6886252,7138794
06019,"Fresno, CA",36710341,35584662,35919350,36233066,36625059,35489475,36916197,38105306,39852017
06021,"Glenn, CA",1065206,1092457,1214457,1114944,1051440,994931,1070222,953858,971171
06023,"Humboldt, CA",4989611,5155630,5052463,5359068,5340386,5160145,5129123,5115805,5277768
06025,"Imperial, CA",6078852,7113770,6819061,6774235,7039022,6645696,6988080,7396757,8069618
06027,"Inyo, CA",1105090,1140230,1101869,1128282,1111590,1099973,1092070,1090808,1110705
06029,"Kern, CA",41176524,39972583,42593461,40698457,39989803,43796655,42835968,42916729,43391596
06031,"Kings, CA",6129314,5479024,4937710,5065402,5799747,5257986,5247463,5678366,5721626
06033,"Lake, CA",1803618,1798013,1719865,1805044,1802271,1796253,1793868,1830611,1844780
06035,"Lassen, CA",1105698,1225368,1143859,1185558,1246813,1184808,1149219,1131166,1157662
06037,"Los Angeles, CA",594511390,610075114,583207839,598544075,611166037,619478724,635468664,655256913,684359234
06039,"Madera, CA",4862486,4790461,4204817,4912047,4931563,5126914,5259349,5537036,5280320
