"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
06103,"Tehama, CA",20686,21572,22233,23381,24620,25377
06105,"Trinity, CA",22149,22583,23121,23956,22957,23284
06107,"Tulare, CA",21583,21832,23125,24922,25606,25996
06109,"Tuolumne, CA",25554,25953,26900,28296,29132,30459
06111,"Ventura, CA",35576,36021,37690,39950,41390,44042
06113,"Yolo, CA",29787,30095,31555,33182,34286,36651
06115,"Yuba, CA",21583,22751,24304,25627,26666,27744
08001,"Adams, CO*",27788,27923,28266,28601,28966,29791
08003,"Alamosa, CO",22762,24366,23287,24335,25409,25976
08005,"Arapahoe, CO",41442,40886,41222,40522,41382,44482
08007,"Archuleta, CO",24572,25192,24973,24565,26549,29026
08009,"Baca, CO",25883,21357,26682,26459,28703,24523
08011,"Bent, CO",20938,19201,20374,20791,21585,20881
08013,"Boulder, CO*",42140,41301,42175,43163,45886,48567
08014,"Broomfield, CO*",(NA),41260,41343,43677,47339,53290
08015,"Chaffee, CO",23439,23232,23795,24765,26090,28024
08017,"Cheyenne, CO",32371,25259,34585,33320,35214,31770
08019,"Clear Creek, CO",35972,38485,42248,43732,45166,46824
08021,"Conejos, CO",17555,17560,19253,20047,20499,21089
08023,"Costilla, CO",20516,21444,20385,20120,21518,22300
08025,"Crowley, CO",17458,14715,15426,15091,16919,16157
08027,"Custer, CO",25829,26757,26955,28377,27486,29122
08029,"Delta, CO",21801,22034,22387,23343,24844,26378
08031,"Denver, CO",39694,39756,40383,41506,45769,49967
08033,"Dolores, CO",21003,19927,21258,21079,22717,22470
08035,"Douglas, CO",42890,38999,37709,41413,46470,51028
08037,"Eagle, CO",43456,43010,43615,44552,48482,55181
08039,"Elbert, CO",32788,31518,31570,34989,36645,37341
08041,"El Paso, CO",31117,31464,32089,32864,34356,35414
08043,"Fremont, CO",20473,20285,20708,21325,21754,22408
08045,"Garfield, CO",31696,31140,31283,33259,36351,40351
08047,"Gilpin, CO",43607,43956,40959,39476,48428,47102
08049,"Grand, CO",27642,27932,28448,30581,31497,32607
08051,"Gunnison, CO",26526,26286,27824,29292,31177,33576
